Author,Comment,PublishedAt
@tata-lf4jr,menunggu janji 2014 rindu,2024-05-01T05:13:50Z
@s.k.a66,inget mantan inget nabi muhammad saw,2024-04-30T23:33:01Z
@fitriheriyanti1683,bru nge model video clipny alsad tnyta duh syg banget hubungan mreka hrus,2024-04-30T18:11:54Z
@MayangOctavia,lagu ny mengingt kn dgn suami hebat ku yng udh prgi k surga duluan tunggu bunda ya yahh,2024-04-30T01:21:42Z
@TokoKopkarPalapa,anjay,2024-04-30T00:25:09Z
@Tehkotak_Dellaa,menti 300 331 enak bgtt,2024-04-29T22:07:04Z
@aswankasikiaswankasiki8247,1010,2024-04-29T17:42:03Z
@dwikyramadhan6124,2024 setia dengerin lagu,2024-04-28T04:26:48Z
@ramadhanihsan2705,lagu jelek krn tdk relate cinta kekasih relate cinta hamba rasulullah,2024-04-27T17:44:55Z
@Rizki71712,11 49 juta,2024-04-27T11:22:32Z
@rikyadryansyah0948,janset top 52 on spotifyy dikit yokk,2024-04-27T10:24:30Z
@fivech3652,dipakai cerita nabi muhammad tiktok merindukan beliau kalo denger lagu,2024-04-27T07:31:46Z
@isaramadhaan4451,internet please do your magic namanya desi alviani and i love her so muchhh seandainya baca pngen tau kalo nunggu pulang yah terimakasih hadir bersyukur banget berterimakasih tuhan you always be my favorite dummy girl i love ya,2024-04-26T20:44:20Z
@rikyadryansyah0948,yok join top 50 spotify males2an ya,2024-04-25T13:52:15Z
@Jawapride2024,hohohoho,2024-04-25T11:32:57Z
@zhoratunayuwalmakia1718,kesini gra lagu sound tiktok kisah abdi negara,2024-04-25T08:54:05Z
@R_6969_,kgn banget vibes 2022 huffttt,2024-04-25T00:57:11Z
@yohanasiallagan3553,yuk intip perjalanan karier tiara andini,2024-04-23T23:12:44Z
@Ngapocak,best song ever,2024-04-22T11:45:23Z
@TaniaRifqi,suka kpop gk ngerti kerasa banget gtuheh masyaallah nemu lagu lagu kk tiara ter banget nyentuh sekalee,2024-04-22T04:18:47Z
@aditiohariantoPutra,kukira satunya salah satunya,2024-04-21T13:27:03Z
@luthficahyadi6084,tahukah dirimu betapa diriku merindukan hadirmu,2024-04-21T09:43:42Z
@egihergian5456,kesini gra2 lagu sound tiktok kisah nabi muhammad,2024-04-21T03:21:22Z
@melatiku86lindamaniez57,singapore 20222023 thanks for someone mengisi hatiku 15 thn kmrn msh merindukanmu iklas melepasmu kinidoa terbaikxu btmu dzna,2024-04-20T21:31:19Z
@user-zt8rz5jd9q,nya lagu tiara andini tetep lagu janji setia pemenangnya,2024-04-20T12:20:10Z
@Alice_Kookie-8797,ya allah lagu kesayangan 2 taun aja msh semangat moo gasin 100jt,2024-04-20T04:48:55Z
@kirinasaysareh7310,tiktok orang thailand suka lagu indo,2024-04-19T04:06:12Z
@loveAnikaAlhidayat,bismillah assalamualaikum kesayangan ku mata hati slu doa ku happy anniversary kesayanganku puji syukur nikmat karunianya indah alhamdulillah 52 dgn penuh cinta kasih sayang kerinduan kian mendalami you forever percayalah kasih jarak menghapus janji setia menjaga hatihati cinta adlah milikmuslu doa terbaik utk utk hubunganutk cinta sehat slu slu dlm lindungan nya ridhoi nya bismillah smoga allah memperkenankan dlm fayakun nya amin happy anniversary ke52 19042024 bismillah langgeng utk amin ya rob,2024-04-18T17:38:08Z
@ASN_Teladan,titilagu2mu gak gagal fokus,2024-04-18T07:13:37Z
@isaramadhaan4451,internet please do your magic her name is desi alviani ngga peduli telingaku tuli kalo dengerin lagu bikin keinget lagu mewakili bilang kalo lihat tulisan i just want you to know that i love you too much,2024-04-17T18:38:10Z
@irwandi4121,bismillah 100 jutaa views yokk,2024-04-17T17:24:46Z
@rafindrafarona,setia zaman,2024-04-17T03:32:12Z
@rizkyfidiansyah2768,gas 68 juta moo up cantik 1,2024-04-16T23:07:21Z
@RioNarko,yanto gak,2024-04-16T14:59:46Z
@whateverneverminds2807,kalo denger lagu kayak related banget baginda nabi muhammad shalallaahu alaihi wassalaam ya rabb semoga umatmu syafaatmu yaumul kelak allahumma sholli ala sayyidina muhammad,2024-04-16T13:25:29Z
@MuhammadDanishWarawut,dimana kah humairah hanna hahahahaha,2024-04-16T10:39:47Z
@Rizki71712,lagunya 429 detik ditonton 4900000 kali aja muter lagu 41 nonstop,2024-04-16T06:39:25Z
@1412__-3-,mengerti dipungkiri kumiliki bumi sunyi takkan menantimu andai ku genggam tanganmu takkan rindu hatiku tahukah dirimu betapa diriku merindukan hadirmu percayalah kasih jarak menghapus janji setia menjaga hati andai ku genggam tanganmu takkan rindu hatiku ohoh tahukah dirimu betapa diriku merindukan hadirmu percayalah kasih jarak menghapus kauhapus janji setia menjaga hati hujan turun mewakili hati terpa angin gambarkan resahku hooh pelangi pelangi menyinari hooh merindukan hadirmu percayalah kasih jarak menghapus janji setia menjaga hati merindukan hadirmu percayalah oh kasihku jarak menghapus janji setia menjaga hati hoohohho,2024-04-16T00:19:06Z
@zahrohputralestari1141,siaap,2024-04-15T18:19:49Z
@zahrohputralestari1141,ok,2024-04-15T18:19:36Z
@zahrohputralestari1141,bener,2024-04-15T18:19:25Z
@zahrohputralestari1141,ya,2024-04-15T18:19:08Z
@zahrohputralestari1141,deny bastian dr,2024-04-15T18:18:32Z
@nighttime2693,jumat tanggal 19 tiara andini rilis lagu judulnya kupu kupu ciptaan laleilmanino pembuat lagu gemintang hatiku 365 hadapi berdua nya tiara stay tune teman teman,2024-04-14T10:55:35Z
@Kuromi_Lilac,alshad ahmaddd tiara andinii,2024-04-14T05:34:51Z
@DestraPerdana,kalo sekolah kasih uang saku beliau berpesan jagan boros boros ya nak kalo temen gak jajan gimna kasih ya jagan pelit mengajarkan ringan tangan bersedekah ajar tabah kondisi memikirkan perkataan orang tenang tenang nek udah 21 thn nenek bilang orang alhamdulillah sdh tanam tetep pertahananin,2024-04-14T04:08:30Z
@loveAnikaAlhidayat,67913494 x ditonton 0729 wib 14042024 611 ribu like 89 ribu komen 252 juta subscriber,2024-04-14T00:30:11Z
@awannn_zzz,dengerin lagu pas lebaran,2024-04-13T09:26:36Z
@yasminalya5534,eeeeeeeee,2024-04-12T05:28:58Z
@lefikalangi9442,kisa lirik nyata merindukan hadirmu,2024-04-11T13:01:24Z
@jejuromero9091,lebaran dah selesai fokus vote sms streamingnya digasssskan mootiara spread love not hate,2024-04-11T08:16:53Z
@user-dr6mp4wf1z,janji setia official music video,2024-04-10T04:18:33Z
@rikyadryansyah0948,janset join top 50,2024-04-09T11:27:36Z
@user-vz9pd4xm6v,alhamdulilah lagu si solehah janji setia comeback top 50 spotify,2024-04-09T10:50:54Z
@krisfiyan7096,janset back to top 50 gas naiki bikin peak top 10,2024-04-09T10:19:51Z
@gitaandriani3679,ga bosen bosen dengerin ni lagu janji setia,2024-04-09T07:44:20Z
@rikyadryansyah0948,yuk bawa janset top 50,2024-04-09T01:27:27Z
@jejuromero9091,konsisten maha lpk onfire semoga masuk top 20 5 janji setia bismillah jebol top 50 tega terbangkan bismillah soon cantik join top 200 lupa vote smsnya moo 3 piala titi hattrick nya yokkk,2024-04-09T01:25:50Z
@user-vz9pd4xm6v,janji setia 4 langkah comeback top 50 keren banget emg lagunya tipe lagu yah gk bosen denger sih mah long lasting,2024-04-09T00:05:31Z
@doelge2157,suka lagu pas dikasih gamelan semoga tampil acara instrumennya pake gamelan terngiang hhee,2024-04-08T21:56:39Z
@rezkyy27,248,2024-04-07T02:50:05Z
@nabellawella2856,kukira lagu kisahku,2024-04-06T22:12:59Z
@programmerexpertx100,ngoding dengerin lagu galau,2024-04-06T15:40:01Z
@jangkrikboss3929,iy,2024-04-04T20:47:46Z
@azizahkurnia7384,puter lagu eh hubungan mreka udh mantan terindah tpi lagunya mantan terindah dinyanyiin breng arsy pnting lagunya enak dengerin yak piss damai,2024-04-04T08:28:43Z
@WiwikwidyoriniRomadhona,sumpah bareng alsha d ahmad,2024-04-02T13:49:51Z
@sh1nzuu,janji setia x cerita nabi muhammad saw,2024-04-01T08:16:00Z
@inez1497,lagu ku betapa sayang allah swt nabi muhammad saw,2024-04-01T07:07:05Z
@30detik40,inget fyp thank you jokowi,2024-03-31T20:50:24Z
@kaze6813,gu keinget rasulullah kalo dnger lagu,2024-03-31T14:19:53Z
@dayatyat9663,gak bosen lagu semangat kak tiara andini,2024-03-31T07:43:43Z
@King_Aryant2008,gimana kabarnya sekarangpisah,2024-03-30T18:21:00Z
@RizkiFadilah-gf6op,toke is dede,2024-03-29T13:45:04Z
@IsannFajarr,68 juta yok semangatt,2024-03-28T18:41:12Z
@deniadiputra8115,terfavorit album pertamaa dengar langsung suka,2024-03-28T11:09:40Z
@deniadiputra8115,terfavorit album pertamaa dengar langsung suka,2024-03-28T11:09:22Z
@resazifahrina2937,aaaaaaa lagu bikin sedih banget dikit dikit nangis love you pokoknya lagu favoritku,2024-03-27T05:35:53Z
@Parkchelyn,janji setia kisah nabi,2024-03-26T23:35:28Z
@user-bi1ll7yg4o,katamu janji meninggalkantetapi menepati janji itusekrang belajar melupakanmu malam merindukanmudan kegamonan sebulan lebihcanda tawa akanku buangdan ku cri cowo teliti,2024-03-25T05:25:03Z
@agusirwanto6196,akuu bangetttt lagunya,2024-03-25T03:19:52Z
@rizkyfidiansyah2768,gas 68 juta up cantik moo,2024-03-24T09:55:33Z
@halinahjumat8083,lagu ku rindu rasulullah,2024-03-23T23:24:11Z
@JOYNDEKKENE,hujan turun mewakili hati,2024-03-23T12:56:46Z
@dennyfalintino5304,vibes lagunya tuh enak bngt,2024-03-23T03:04:47Z
@rifkizibril2526,aerosmith banget,2024-03-22T15:16:25Z
@rismawati-zr8rr,suka banget hubungan berdua,2024-03-21T09:34:33Z
@bank_man303official6,tiaraaa si magnett,2024-03-21T08:40:22Z
@LisaSafitri-mi2eo,menyinari kitaaaaa huaaaa meriindukan hadirmu percayalah kasiiihh jarak menghapus janji setia menjagaa hatiiii,2024-03-21T04:37:41Z
@mobilelegens3521,ad yng kenalkan sma lagu and kmi nyanyi bareng main gitar nyanyi suara nya merdu banget and orang sdh bahagia sma pilihan nya lagu,2024-03-20T23:17:10Z
@IGedeProTV,lagunya tiara slalu sedih,2024-03-20T22:34:41Z
@DuriKepa21,when lu nyibukin lupain merindukan hadirmu,2024-03-20T17:38:59Z
@syariatulhasanah3100,gass 70 juta yuk janset,2024-03-20T12:12:16Z
@AMF_GAME,komen nyaa allahumma sholli alaa sayyidina muhammad,2024-03-20T05:43:04Z
@aulvirgo,67 juta 200324 jam 1226,2024-03-20T05:26:32Z
@farahmelania1549,karya titi gak jelek bagusss,2024-03-19T23:54:15Z
@SimpanSimpang,merdu banget suaranya,2024-03-19T13:23:14Z
@loveAnikaAlhidayat,bismillahirrahmanirrahim assalamualaikum cinta nya dimata doa selamat datangnya 51 ya bii smoga kedepannya doa terbaik smoga kebahagiaan keberkahan keridhoan menyelimuti smoga kebahagiaan slu milik luv u full kesayangankuaku milikmu abii milik ku memiliki utk bismillah dlm fayakun nya happy anniversary kesayanganku anksh 19 forever emmuaaaach percayalah kasih jarak menghapus janji setia menjaga hati 19maret 2024,2024-03-18T17:28:02Z
@loveAnikaAlhidayat,bismillahirrahmanirrahim assalamualaikum cinta nya dimata doa selamat datangnya 51 ya bii smoga kedepannya doa terbaik smoga kebahagiaan keberkahan keridhoan menyelimuti smoga kebahagiaan slu milik luv u full kesayangankuaku milikmu abii milik ku memiliki utk bismillah dlm fayakun nya happy anniversary kesayanganku anksh 19 forever emmuaaaach percayalah kasih jarak menghapus janji setia menjaga hati 19maret 2024,2024-03-18T17:27:27Z
@NanaAgustina179,gasss 67jt moootiara,2024-03-18T16:54:26Z
@EliziRamadhani,ga bosen lagu tiara alshd hubungan jga breng hubunganku cwo ku jdi lagu pnya arti,2024-03-18T15:57:44Z
@irgiirawan3112,mewek keinget kisah rasulullah saw,2024-03-18T09:21:13Z
@wh109,janji setia lagu religi puasa chartnya stabil cenderung enak banget baca kisah nabi pake backsound lagu,2024-03-17T13:51:08Z
@srinurhaliza3984,apis piros kesempatan knp howw,2024-03-17T05:29:01Z
@ranydwisetyani669,lagu tiara enak banget lagu suka pake banget janset,2024-03-16T06:14:22Z
@aguskurniawan5866,p,2024-03-14T11:24:13Z
@dhiyaulhaqaxisfadhillah,menyalaa sayangggg,2024-03-14T07:52:21Z
@manuelhutagalung89,lagunya aerosmith i dont want miss a thing plagiat,2024-03-13T21:19:07Z
@angelinesouver9695,sengaja mlm dengerin lagu krna lagu suka jd backsound kisah kisah nabi ig jd lg rindu banget nabi muhammad solawatan suka denger lagu,2024-03-13T15:28:23Z
@_Tolak_angin,lagu berkahnya backsound nabi muhammad saw sukses titi,2024-03-13T10:56:57Z
@arymori1939,suka banget ama tipe suaranya tiara sukses ya,2024-03-12T13:54:28Z
@user-sl2si9sc4h,tiara cantik comel lagu ni sedap,2024-03-12T11:27:55Z
@baribudiarji2agmailcom,ds ustieyyreityuudyx7jdyujyyryxhyjsyxyydhuuurydkycuyydyuthyxyuejiudujfuyyryyyuduyhhdhhdhuxuhxhjdhxhehhsyyxgghdychhdhhshhdhyuuuuududuudhhhhdhdusuuyyxyyhududuuudhyhhhhdhhdhhhhdhhhhdhhduhudhhduhhchhdhhhduudhhfhhhu,2024-03-12T06:57:37Z
@baribudiarji2agmailcom,vhjhghhhhuhigihhigugghfhfhgghgghhgijhhihgjuhhihhhhhhhhjuiioouiiiituiyiuuiiyijlkkjjuhhuuuuukkji,2024-03-12T06:54:48Z
@adengb19,2024 hadir,2024-03-12T03:17:24Z
@UlulNgilmi-sp4dl,suka lagu banget dengerin gara lagu lagu favorit mantan,2024-03-11T14:10:40Z
@DuriKepa21,enak aja lagunya,2024-03-11T08:39:02Z
@dhuta8131,asta handoko personil ran sih,2024-03-10T13:18:40Z
@alihariyanto2920,lagu nih,2024-03-10T02:27:00Z
@telvininnocent,i dont understand the words but i still like the song,2024-03-08T10:51:48Z
@erikaja6469,315 favorit merdu banget jiwa berasa dimurnikan beresonansi jantungku seakan berdetak cepat tenang nyaman,2024-03-08T07:13:24Z
@yudhasyhab9288,yah gua lagu raisa,2024-03-07T07:26:51Z
@carlsandika,allahumma sollihallah saidyina muhammad,2024-03-06T03:31:48Z
@andikaputra5061,janji setia x cerita nabi muhammad,2024-03-06T02:04:27Z
@carnationautosound3848,dengerin home audio pke ni lagu ngeri banget emosinya ampun mbak susaranya badai,2024-03-05T19:33:24Z
@ellinellin5475,semangat menjemput 661views bismillah,2024-03-04T12:53:53Z
@user-yz9st7et1b,dengar lagu kisah nabi muhammad saw sahabatnya,2024-03-04T02:26:32Z
@rizkyfidiansyah2768,gas 67 juta moo up hatiku,2024-03-04T00:04:48Z
@itsme_ayiy,ayo janji sayang,2024-03-03T13:17:38Z
@Ghazz-tm5hy,200 populerr,2024-03-02T07:08:04Z
@luv.uankshalsyam898,79 ribu lgi 66 juta gsnas jg janset gak nysngks ngalahin merin musik video vl merin waltu tembus smua platform lo masya allah gsk sangja jsnset ngejar merin,2024-03-02T00:44:53Z
@armayeni4779,sadar cowok nya alshad ahmad,2024-03-01T14:33:15Z
@Duniawijayanti,style titi lagu lagu yega yak,2024-03-01T08:58:06Z
@galihrakasiwi6362,p,2024-02-29T23:46:01Z
@raraclmk8837,baper banget liat ka tiara bang alshad,2024-02-29T18:01:49Z
@Irfanuuuuuuuuu,tiara perform acara puteri indonesia tgl 8 maret live sctv ramaikan ya guys,2024-02-29T16:43:23Z
@adetwp,seneng lagu gara fyp ttg kisah rasulullah ko pas banget yaa yaa sayyidii yaa rasulullah,2024-02-29T08:29:30Z
@blace1200,i saw this on tiktok,2024-02-29T05:55:17Z
@KevasAfendar,kesini gara gara kisah rasulullah like,2024-02-28T13:50:49Z
@dhogaming3819,andai ku genggam tanganmu langsung kebayang genggam tangan rasulullah saw sorban hijau wajah bercahaya,2024-02-28T06:46:35Z
@APRILIANURLITA-tt4ub,model nya mantan titiyg macan ya,2024-02-27T07:48:32Z
@BabyFox09,first time here from viet nam with love for tiara,2024-02-27T05:43:47Z
@Tiara-db3er,alm eril klo denger lagu,2024-02-23T17:29:34Z
@PanjiFauzanAbdurachman,rindu rasulullah dengerin lagu,2024-02-23T14:03:54Z
@raraindahnoor3408,rindu habibiku lahul fatihah,2024-02-23T09:18:14Z
@fajarmuhammad223,nangis denger lagunya,2024-02-23T08:36:33Z
@diahn_j,kangen titi alshad,2024-02-23T05:56:21Z
@afrinr1169,lucu bgtttt,2024-02-23T03:23:58Z
@MyEmptyBottle,suara tiara suka banget i love you tiara,2024-02-22T07:13:06Z
@BangJapsEntertainment,cocok rasulullah saw ya,2024-02-21T23:03:28Z
@danangpanggalih,bagus nih suara lagu bawaain tiara exelent work,2024-02-21T13:39:20Z
@Hunting_family,ex gf,2024-02-21T12:02:40Z
@mamanbaululumcirebon8878,denger lagu pacar nabi muhammad saw lagu bikin nangis rindu nabi muhammad saw,2024-02-21T03:37:12Z
@DuriKepa21,menawarkan kesetiaan memilih pengkhianatan,2024-02-20T09:23:52Z
@debyatman8842,salah lagu terbaik,2024-02-20T08:46:16Z
@user-dp3tr8ov4r,alshad ahmad kangan titi alshad ahmad,2024-02-19T08:43:04Z
@user-oq9gy9qj1w,415,2024-02-19T06:33:53Z
@user-oq9gy9qj1w,perfect,2024-02-19T06:33:00Z
@cintanyaakush9759,bismillahirrahmanirrahimbuat mu selamat 50 sayang bagia bersamamudan semoga bahagia slu milik biarkan apapun merusak kebahagiaan luv kesayangankuaku sayang kamudoa terbaik sayang lgi happy anniversary kesayanganku milikmu miliki ku slu utk bismillah dlm fayakun nya anksh 19 always forever 19022024 0022 wib,2024-02-18T17:22:55Z
@cintanyaakush9759,janji setia menjaga hati congratulations utk 65 juta view masya allah moo alhamdulillah penambahan viewnya 6070 ribu 24 jam nya,2024-02-17T23:20:45Z
@cintanyaakush9759,65009943 x ditonton 0618 wib 18022024 605 ribu like 89 ribu komen 249 juta subscriber,2024-02-17T23:19:40Z
@user-le6lk6ry1l,rumah neraka,2024-02-17T21:33:14Z
@restuarr,congrats 65jt views moo semoga cepat 100m nya,2024-02-17T17:08:46Z
@vearlyanaayu2917,9k lg 65jt,2024-02-17T14:10:07Z
@user-ht7ig7tp1n,cinta banget lagunya,2024-02-15T22:50:08Z
@muhammadhafiz2958,semangat team tiara,2024-02-15T17:42:46Z
@rivaldoviki305,adem banget,2024-02-15T17:24:11Z
@kamaseanfanbaze,liriknya jarak n sih kek everlasting ni lagu menjaga hati,2024-02-15T10:41:10Z
@bidangpajakdaerah8140,lagu bosan dengar,2024-02-15T04:13:14Z
@user-zu2mz1bh9s,lagunya orng tulus jalan aspal lurus,2024-02-14T20:34:55Z
@user-cc4ep6ll1c,melepas merelakan mu ikhlas masii mencintai mu tau mengikhlaskan mu tersenyum karna tau kau orang kau bahagia banding ku berjanji mu apapun membuatmu bahagia kejar merelakan mu mu bahagia orang terluka mata kebahagiaan mu,2024-02-14T10:02:58Z
@ahmadrusaili5468,trmkasih tlh hdir dlm hidupku bbrpa thn trkhir inimmng kmu prmpuan hbt jrk mmpu mmthkan cnta,2024-02-13T03:34:11Z
@riacantik3982,2024 syuka video nya,2024-02-12T22:37:51Z
@jeje-md5ic,tiara andini 2024 smkn smp 15 sma 5 sma 6 pratek merah motor jipi ds tablet tabulet baktik orens,2024-02-12T00:24:49Z
@user-fp5ze3xk6z,diam aja na gk ngapangapain chating2an suami orang ngerusak rumah tangga orang gila sih salah lakinya udh nikah aja kode2 in angka sosmed nya gak mikirin perasaan istrinya janji setia nya gk dipegang nya emang bener gak kah istrinya ngelahirin sibuk ngodein akun nya udh unfollow istri nya nauzubillah chating suami orang jalur ku kearah pelakor gini ya yaallah anti banget suami orang akrab chating2an nauzubillah,2024-02-11T15:56:37Z
@Amazingsports124,janset masuk top200 spotife malaysia,2024-02-11T15:53:07Z
@tyassooo,gasss 65 juta moo,2024-02-11T13:27:22Z
@syariatulhasanah3100,gass 65 juta mootiara,2024-02-11T06:51:14Z
@rizkyfidiansyah2768,gas 65 juta dengerin lagu pernikahan moo,2024-02-11T03:20:27Z
@bintanglaut4276,lagu raisa pas dengar banget reff nya tiara nyanyi suara raisa,2024-02-10T12:58:34Z
@imronrosadi7702,nangis rasulullah saw lagu janji setia,2024-02-10T00:34:23Z
@Lucky-tj5eh,vidio clipnya sm alshad ahmad putuh ngga sih sebenernya,2024-02-09T12:41:25Z
@jusmanto1139,kesini titok,2024-02-08T11:58:49Z
@nandadwiputra6647,sengaja nyetel lagu galau karna hadir asing sesakit yah mencintai orang,2024-02-07T19:44:53Z
@MICHSANFAZAR,janji,2024-02-07T18:43:21Z
@rullyrahmawan5333,denger lagu baca kisah nabi muhammad madepp,2024-02-07T18:12:13Z
@GedeArtawahyudi,waouuuu,2024-02-06T14:31:03Z
@Rioutama664,stream lagu pernikahan berasa,2024-02-06T01:21:55Z
@sunarasull,dalem banget,2024-02-05T05:33:48Z
@user-sp6bl1ku6r,suara titi raisa banget tp melodi aransemen krg ceria ti jd bd m single perdana km dl ceria tp d duet kykny pas ny,2024-02-04T15:18:05Z
@andrekresna2522,didengar sejuksama dirasakan takut kehilangan,2024-02-03T13:14:51Z
@defindraelsy5293,janji setia menjaga hati,2024-02-02T15:08:43Z
@user-zz8eb2py8w,suka chatan,2024-02-02T01:49:50Z
@Akhmadi_Kurniawan,0103 0200 janji setia kisah rasulullah sahabat,2024-01-31T14:04:59Z
@maisarahafiqah6368,my ex lagu ni kat i hm,2024-01-31T00:24:56Z
@susanlucky88,tinggal kenangan anjiiiirrrr,2024-01-30T19:33:52Z
@grelaras2065,titi lagu penuh kenangan,2024-01-29T08:49:55Z
@ibasofficial3,vidio udah gk tonton penggemar alshad tiara mungkinkan janji setia berdua terbukti dipelaminan,2024-01-29T07:45:12Z
@dordordorindonesian6783,prakiraan thn 7880 juta viewers,2024-01-29T00:04:59Z
@ahmadmckenzei2679,bikin gua mewek brutal,2024-01-27T07:48:42Z
@Fahrul_R,dluu rela ujanan nganter pulng smpe hp rusak skrng rela ujanan sendri krna udh dipelukan orng semoga bahagia n,2024-01-27T04:54:24Z
@Takumi.Fujiwara001,hmmm setia merelakan salah satunya,2024-01-26T22:11:49Z
@moccaorangemakankpop2415,lagu denger clip kisah kisah islami eh tau lagunya penyanyi terkenal,2024-01-26T11:46:12Z
@Sofie_SachinLOVE,lagu galau tiara bener bener kyk isi suara hati kitaaaaa,2024-01-25T13:32:30Z
@alwanmakarim2963,percayalah kasiih,2024-01-25T13:23:46Z
@lele7034,lagu orang pacaran lagu meningkatkan rasulullah,2024-01-25T01:36:25Z
@rizkyfidiansyah2768,gas 64 juta moo up ngeluwihi,2024-01-24T22:55:57Z
@LarajatulHikmah-hw5nh,titi luppp bet,2024-01-24T16:18:41Z
