Author,Comment,PublishedAt,youtube_english
@skoopyofficial4018,mengerti dipungkiri kumiliki bumi sunyi takkan menantimu andai ku genggam tanganmu takkan rindu hatiku tahukah dirimu betapa diriku merindukan hadirmu percayalah kasih jarak menghapus janji setia menjaga hati andai ku genggam tanganmu takkan rindu hatiku ohoh tahukah dirimu betapa diriku merindukan hadirmu percayalah kasih jarak menghapus kauhapus janji setia menjaga hati hujan turun mewakili hati terpa angin gambarkan resahku hooh pelangi pelangi menyinari hooh merindukan hadirmu percayalah kasih jarak menghapus janji setia menjaga hati merindukan hadirmu percayalah oh kasihku jarak menghapus janji setia menjaga hati hoohohho,2024-05-13T14:05:48Z,QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS
@wanfaisalchesuhaimi2776,baca komen ramai cakap dengar lagu related rasulullah saw teringatkan rasulullah saw allahuakhbar tahukah dirimu betapa diriku merindukan hadirmu merindukan hadirmu subhanallah,2024-05-13T04:46:49Z,"read the comments, listen to the songs related to Rasulullah saw reminded of Rasulullah saw allahuakhbar do you know how much I miss your presence miss your presence subhanallah"
@worapongsowapas2956,like,2024-05-12T23:06:26Z,like
@ilhamdaledo7078,bagussss banget,2024-05-12T13:44:49Z,really bagussss
@rahmadkurnia2994,reffnya,2024-05-11T13:09:57Z,the refff
@MinranaRana-wp1sd,cinta ku cmn sma wahyu,2024-05-07T13:47:13Z,love me cmn sma revelation
@PebriOno-gt7cv,suaranya lembut bagus banget mbak tiara,2024-05-06T14:43:07Z,her soft voice is very good mbak tiara
@HFz300,menangis mendengar lagu memikirkan sang nabi muhammad,2024-05-05T06:16:46Z,crying listening to a song thinking about the prophet muhammad
@RafiAbdulAziz-gy2du,sialllagu berhasil nangis,2024-05-04T13:55:36Z,sialllagu managed to cry
@novinovita2543,noer arief hidayat,2024-05-04T09:01:50Z,noer arief hidayat
@lolamelinda5423,udah capek2 setia jaga hati eh selingkuhin utk 3x ya,2024-05-03T05:56:54Z,i'm tired of being loyal to keep my heart uh cheating for 3x yes
@asmr094,yok vote sctv music awards nya moo yok semngat,2024-05-02T02:49:47Z,yok vote sctv music awards nya moo yok semngat
@riofebrian3594,2024 nih blum,2024-05-01T11:10:07Z,2024 NIH BLUM
@tata-lf4jr,menunggu janji 2014 rindu,2024-05-01T05:13:50Z,waiting for the promise of 2014 longing
@s.k.a66,inget mantan inget nabi muhammad saw,2024-04-30T23:33:01Z,remembering the former remembering the prophet muhammad saw
@fitriheriyanti1683,bru nge model video clipny alsad tnyta duh syg banget hubungan mreka hrus,2024-04-30T18:11:54Z,bru nge model video clipny alsad tnyta duh syg really relationship mreka hrus
@MayangOctavia,lagu ny mengingt kn dgn suami hebat ku yng udh prgi k surga duluan tunggu bunda ya yahh,2024-04-30T01:21:42Z,ny mengingt kn song with my great husband yng udh prgi k heaven first wait for mommy ya yahh
@TokoKopkarPalapa,anjay,2024-04-30T00:25:09Z,Anjay...
@Tehkotak_Dellaa,menti 300 331 enak bgtt,2024-04-29T22:07:04Z,menti 300 331 delicious bgtt
@aswankasikiaswankasiki8247,1010,2024-04-29T17:42:03Z,1010
@dwikyramadhan6124,2024 setia dengerin lagu,2024-04-28T04:26:48Z,2024 faithfully listen to songs
@ramadhanihsan2705,lagu jelek krn tdk relate cinta kekasih relate cinta hamba rasulullah,2024-04-27T17:44:55Z,bad song because it does not relate to love lovers relate to love slaves of the apostle
@Rizki71712,11 49 juta,2024-04-27T11:22:32Z,11 49 million
@rikyadryansyah0948,janset top 52 on spotifyy dikit yokk,2024-04-27T10:24:30Z,cuff top 52 on spotifyy little yoke
@fivech3652,dipakai cerita nabi muhammad tiktok merindukan beliau kalo denger lagu,2024-04-27T07:31:46Z,used the story of the prophet muhammad tiktok miss him if you hear the song
@isaramadhaan4451,internet please do your magic namanya desi alviani and i love her so muchhh seandainya baca pngen tau kalo nunggu pulang yah terimakasih hadir bersyukur banget berterimakasih tuhan you always be my favorite dummy girl i love ya,2024-04-26T20:44:20Z,internet please do your magic his name is desi alviani and i love her so muchhh if you read pngen know if you wait to go home yeah thank you very much present thank god you always be my favorite dummy girl i love ya
@rikyadryansyah0948,yok join top 50 spotify males2an ya,2024-04-25T13:52:15Z,yoke join top 50 spotify males2an yes
@Jawapride2024,hohohoho,2024-04-25T11:32:57Z,hohohoho
@zhoratunayuwalmakia1718,kesini gra lagu sound tiktok kisah abdi negara,2024-04-25T08:54:05Z,here gra tiktok sound song the story of a country servant
@R_6969_,kgn banget vibes 2022 huffttt,2024-04-25T00:57:11Z,not really vibes 2022 huffttt
@yohanasiallagan3553,yuk intip perjalanan karier tiara andini,2024-04-23T23:12:44Z,let's take a peek at tiara andini's career journey
@Ngapocak,best song ever,2024-04-22T11:45:23Z,best song ever
@TaniaRifqi,suka kpop gk ngerti kerasa banget gtuheh masyaallah nemu lagu lagu kk tiara ter banget nyentuh sekalee,2024-04-22T04:18:47Z,like kpop gk understand kerasa really gtuheh masyaallah nemu lagu lagu kk tiara ter really touch sekalee
@aditiohariantoPutra,kukira satunya salah satunya,2024-04-21T13:27:03Z,i think one of them is one of them
@luthficahyadi6084,tahukah dirimu betapa diriku merindukan hadirmu,2024-04-21T09:43:42Z,do you know how much I miss your presence
@egihergian5456,kesini gra2 lagu sound tiktok kisah nabi muhammad,2024-04-21T03:21:22Z,here gra2 song sound tiktok story of prophet muhammad
@melatiku86lindamaniez57,singapore 20222023 thanks for someone mengisi hatiku 15 thn kmrn msh merindukanmu iklas melepasmu kinidoa terbaikxu btmu dzna,2024-04-20T21:31:19Z,singapore 20222023 thanks for someone fills my heart 15 yrs kmrn msh miss you iklas take you off kinidoa terbaikxu btmu dzna
@user-zt8rz5jd9q,nya lagu tiara andini tetep lagu janji setia pemenangnya,2024-04-20T12:20:10Z,his song tiara andini tetep song pledge allegiance to the winner
@Alice_Kookie-8797,ya allah lagu kesayangan 2 taun aja msh semangat moo gasin 100jt,2024-04-20T04:48:55Z,oh god 2 years old favorite song msh spirit moo gasin 100jt
@kirinasaysareh7310,tiktok orang thailand suka lagu indo,2024-04-19T04:06:12Z,tiktok thailand people like indo songs
@loveAnikaAlhidayat,bismillah assalamualaikum kesayangan ku mata hati slu doa ku happy anniversary kesayanganku puji syukur nikmat karunianya indah alhamdulillah 52 dgn penuh cinta kasih sayang kerinduan kian mendalami you forever percayalah kasih jarak menghapus janji setia menjaga hatihati cinta adlah milikmuslu doa terbaik utk utk hubunganutk cinta sehat slu slu dlm lindungan nya ridhoi nya bismillah smoga allah memperkenankan dlm fayakun nya amin happy anniversary ke52 19042024 bismillah langgeng utk amin ya rob,2024-04-18T17:38:08Z,QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS
@ASN_Teladan,titilagu2mu gak gagal fokus,2024-04-18T07:13:37Z,your titles don't fail to focus
@isaramadhaan4451,internet please do your magic her name is desi alviani ngga peduli telingaku tuli kalo dengerin lagu bikin keinget lagu mewakili bilang kalo lihat tulisan i just want you to know that i love you too much,2024-04-17T18:38:10Z,internet please do your magic her name is desi alviani don't care my ears deaf if you hear the song make keinget song represent say if you see the writing i just want you to know that i love you too much
@irwandi4121,bismillah 100 jutaa views yokk,2024-04-17T17:24:46Z,bismillah 100 million views yokk
@rafindrafarona,setia zaman,2024-04-17T03:32:12Z,loyal to the times
@rizkyfidiansyah2768,gas 68 juta moo up cantik 1,2024-04-16T23:07:21Z,beautiful 68 million moo up gas 1
@RioNarko,yanto gak,2024-04-16T14:59:46Z,yanto or not
@whateverneverminds2807,kalo denger lagu kayak related banget baginda nabi muhammad shalallaahu alaihi wassalaam ya rabb semoga umatmu syafaatmu yaumul kelak allahumma sholli ala sayyidina muhammad,2024-04-16T13:25:29Z,if you listen to the song like it's really related to the prophet muhammad shalallaahu alaihi wassalaam ya rabb may your people intercede yaumul someday allahumma sholli ala sayyidina muhammad
@MuhammadDanishWarawut,dimana kah humairah hanna hahahahaha,2024-04-16T10:39:47Z,where is humairah hanna hahahahaha
@Rizki71712,lagunya 429 detik ditonton 4900000 kali aja muter lagu 41 nonstop,2024-04-16T06:39:25Z,the song is 429 seconds watched 4900000 times just muter song 41 nonstop
@1412__-3-,mengerti dipungkiri kumiliki bumi sunyi takkan menantimu andai ku genggam tanganmu takkan rindu hatiku tahukah dirimu betapa diriku merindukan hadirmu percayalah kasih jarak menghapus janji setia menjaga hati andai ku genggam tanganmu takkan rindu hatiku ohoh tahukah dirimu betapa diriku merindukan hadirmu percayalah kasih jarak menghapus kauhapus janji setia menjaga hati hujan turun mewakili hati terpa angin gambarkan resahku hooh pelangi pelangi menyinari hooh merindukan hadirmu percayalah kasih jarak menghapus janji setia menjaga hati merindukan hadirmu percayalah oh kasihku jarak menghapus janji setia menjaga hati hoohohho,2024-04-16T00:19:06Z,QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS
@zahrohputralestari1141,siaap,2024-04-15T18:19:49Z,siaap
@zahrohputralestari1141,ok,2024-04-15T18:19:36Z,
@zahrohputralestari1141,bener,2024-04-15T18:19:25Z,so happy.
@zahrohputralestari1141,ya,2024-04-15T18:19:08Z,yes
@zahrohputralestari1141,deny bastian dr,2024-04-15T18:18:32Z,bastian denial dr
@nighttime2693,jumat tanggal 19 tiara andini rilis lagu judulnya kupu kupu ciptaan laleilmanino pembuat lagu gemintang hatiku 365 hadapi berdua nya tiara stay tune teman teman,2024-04-14T10:55:35Z,friday the 19th tiara andini release the title song butterfly created by laleilmanino songwriter gemintang hati 365 face together his tiara stay tune friend friend
@Kuromi_Lilac,alshad ahmaddd tiara andinii,2024-04-14T05:34:51Z,alshad ahmaddd tiara andinii
@DestraPerdana,kalo sekolah kasih uang saku beliau berpesan jagan boros boros ya nak kalo temen gak jajan gimna kasih ya jagan pelit mengajarkan ringan tangan bersedekah ajar tabah kondisi memikirkan perkataan orang tenang tenang nek udah 21 thn nenek bilang orang alhamdulillah sdh tanam tetep pertahananin,2024-04-14T04:08:30Z,"if the school gave him pocket money he told me not to be extravagant, wasteful, yes, son, if my friend doesn't snack, gimna, love it, jagan stingy teaches me to be light-handed, give alms, teach me to be steadfast, think of the words of a calm person, calm, nek has been 21 years old, grandma says people are grateful for planting stills of defense"
@loveAnikaAlhidayat,67913494 x ditonton 0729 wib 14042024 611 ribu like 89 ribu komen 252 juta subscriber,2024-04-14T00:30:11Z,67913494 x watched 0729 wib 14042024 611 thousand likes 89 thousand comments 252 million subscribers
@awannn_zzz,dengerin lagu pas lebaran,2024-04-13T09:26:36Z,listen to songs fitting Eid
@yasminalya5534,eeeeeeeee,2024-04-12T05:28:58Z,eeeeeeeee
@lefikalangi9442,kisa lirik nyata merindukan hadirmu,2024-04-11T13:01:24Z,kisa real lyrics miss your presence
@jejuromero9091,lebaran dah selesai fokus vote sms streamingnya digasssskan mootiara spread love not hate,2024-04-11T08:16:53Z,eid has finished focusing on voting sms streaming digasssskan mootiara spread love not hate
@user-dr6mp4wf1z,janji setia official music video,2024-04-10T04:18:33Z,pledge of allegiance official music video
@rikyadryansyah0948,janset join top 50,2024-04-09T11:27:36Z,cuff join top 50
@user-vz9pd4xm6v,alhamdulilah lagu si solehah janji setia comeback top 50 spotify,2024-04-09T10:50:54Z,thank god for the song the righteous promise of loyalty comeback top 50 spotify
@krisfiyan7096,janset back to top 50 gas naiki bikin peak top 10,2024-04-09T10:19:51Z,cuff back to top 50 gas up making peak top 10
@gitaandriani3679,ga bosen bosen dengerin ni lagu janji setia,2024-04-09T07:44:20Z,ga bosen bosen lecturer ni song pledge of allegiance
@rikyadryansyah0948,yuk bawa janset top 50,2024-04-09T01:27:27Z,let's bring top 50 cuffs
@jejuromero9091,konsisten maha lpk onfire semoga masuk top 20 5 janji setia bismillah jebol top 50 tega terbangkan bismillah soon cantik join top 200 lupa vote smsnya moo 3 piala titi hattrick nya yokkk,2024-04-09T01:25:50Z,"be consistent, lpk onfire hope to be in the top 20 5 bismillah loyalty promises, top 50 tega fly bismillah soon beautiful join top 200 forget to vote smsnya moo 3 trophies titi hattrick nya yokkk"
@user-vz9pd4xm6v,janji setia 4 langkah comeback top 50 keren banget emg lagunya tipe lagu yah gk bosen denger sih mah long lasting,2024-04-09T00:05:31Z,pledge of loyalty 4 steps of comeback top 50 really cool emg song type of song well gk lecturer dengar sih mah long lasting
@doelge2157,suka lagu pas dikasih gamelan semoga tampil acara instrumennya pake gamelan terngiang hhee,2024-04-08T21:56:39Z,love the song fitting given gamelan may appear the instrument show using gamelan tergiang hhee
@rezkyy27,248,2024-04-07T02:50:05Z,248
@nabellawella2856,kukira lagu kisahku,2024-04-06T22:12:59Z,i thought my story song
@programmerexpertx100,ngoding dengerin lagu galau,2024-04-06T15:40:01Z,coding and listening to galau songs
@jangkrikboss3929,iy,2024-04-04T20:47:46Z,do not understan
@azizahkurnia7384,puter lagu eh hubungan mreka udh mantan terindah tpi lagunya mantan terindah dinyanyiin breng arsy pnting lagunya enak dengerin yak piss damai,2024-04-04T08:28:43Z,puter song eh relationship mreka udh the most beautiful ex tpi the most beautiful ex sangin breng arsy pnting the song is good hearin yak piss peace
@WiwikwidyoriniRomadhona,sumpah bareng alsha d ahmad,2024-04-02T13:49:51Z,swear with alsha d ahmad
@sh1nzuu,janji setia x cerita nabi muhammad saw,2024-04-01T08:16:00Z,pledge of allegiance x the story of the prophet muhammad saw
@inez1497,lagu ku betapa sayang allah swt nabi muhammad saw,2024-04-01T07:07:05Z,my song how much I love Allah SWT prophet muhammad saw
@30detik40,inget fyp thank you jokowi,2024-03-31T20:50:24Z,inget fyp thank you jokowi
@kaze6813,gu keinget rasulullah kalo dnger lagu,2024-03-31T14:19:53Z,guinget Rasulullah kalo dnger lagu
@dayatyat9663,gak bosen lagu semangat kak tiara andini,2024-03-31T07:43:43Z,gak bosen lagu semangat kak tiara andini
@King_Aryant2008,gimana kabarnya sekarangpisah,2024-03-30T18:21:00Z,how's it going nowseparate
@RizkiFadilah-gf6op,toke is dede,2024-03-29T13:45:04Z,toke is dede
@IsannFajarr,68 juta yok semangatt,2024-03-28T18:41:12Z,68 million yoke roht
@deniadiputra8115,terfavorit album pertamaa dengar langsung suka,2024-03-28T11:09:40Z,favorite first album i listen to immediately like
@deniadiputra8115,terfavorit album pertamaa dengar langsung suka,2024-03-28T11:09:22Z,favorite first album i listen to immediately like
@resazifahrina2937,aaaaaaa lagu bikin sedih banget dikit dikit nangis love you pokoknya lagu favoritku,2024-03-27T05:35:53Z,aaaaaaa song makes me so sad a little bit crying love you just like my favorite song
@Parkchelyn,janji setia kisah nabi,2024-03-26T23:35:28Z,the faithfulness of the prophet's story
@user-bi1ll7yg4o,katamu janji meninggalkantetapi menepati janji itusekrang belajar melupakanmu malam merindukanmudan kegamonan sebulan lebihcanda tawa akanku buangdan ku cri cowo teliti,2024-03-25T05:25:03Z,you said promise to leavebut keep the promise itusekrang learn to forget you night missmudan madness a month or soyou laugh will i wasteand ku cri mano meticulous
@agusirwanto6196,akuu bangetttt lagunya,2024-03-25T03:19:52Z,akuu sangatetttt lagunya
@rizkyfidiansyah2768,gas 68 juta up cantik moo,2024-03-24T09:55:33Z,gas 68 million up beautiful moo
@halinahjumat8083,lagu ku rindu rasulullah,2024-03-23T23:24:11Z,my song misses the apostle
@JOYNDEKKENE,hujan turun mewakili hati,2024-03-23T12:56:46Z,rainfall represents the heart
@dennyfalintino5304,vibes lagunya tuh enak bngt,2024-03-23T03:04:47Z,the vibes of the song are good bngt
@rifkizibril2526,aerosmith banget,2024-03-22T15:16:25Z,really aerosmith
@rismawati-zr8rr,suka banget hubungan berdua,2024-03-21T09:34:33Z,i really like the relationship between the two
@bank_man303official6,tiaraaa si magnett,2024-03-21T08:40:22Z,tiaraaa the magnett
@LisaSafitri-mi2eo,menyinari kitaaaaa huaaaa meriindukan hadirmu percayalah kasiiihh jarak menghapus janji setia menjagaa hatiiii,2024-03-21T04:37:41Z,shine a light on usaaaa huaaaa longing for your presence believe me kasiiihh distance erase pledge of allegiance keep your heartiii
@mobilelegens3521,ad yng kenalkan sma lagu and kmi nyanyi bareng main gitar nyanyi suara nya merdu banget and orang sdh bahagia sma pilihan nya lagu,2024-03-20T23:17:10Z,ad yng introduce sma song and kmi sing together play guitar sing his voice melodious and people are happy sma his choice of song
@IGedeProTV,lagunya tiara slalu sedih,2024-03-20T22:34:41Z,the song tiara slalu sad
@DuriKepa21,when lu nyibukin lupain merindukan hadirmu,2024-03-20T17:38:59Z,when lu nyibukin lupain missed your presence
@syariatulhasanah3100,gass 70 juta yuk janset,2024-03-20T12:12:16Z,gass 70 million yuk cufflinks
@AMF_GAME,komen nyaa allahumma sholli alaa sayyidina muhammad,2024-03-20T05:43:04Z,comment nyaa allahumma sholli alaa sayyidina muhammad
@aulvirgo,67 juta 200324 jam 1226,2024-03-20T05:26:32Z,67 million 200324 hours 1226
@farahmelania1549,karya titi gak jelek bagusss,2024-03-19T23:54:15Z,titi work is not bad bagusss
@SimpanSimpang,merdu banget suaranya,2024-03-19T13:23:14Z,the sound is so melodious
@loveAnikaAlhidayat,bismillahirrahmanirrahim assalamualaikum cinta nya dimata doa selamat datangnya 51 ya bii smoga kedepannya doa terbaik smoga kebahagiaan keberkahan keridhoan menyelimuti smoga kebahagiaan slu milik luv u full kesayangankuaku milikmu abii milik ku memiliki utk bismillah dlm fayakun nya happy anniversary kesayanganku anksh 19 forever emmuaaaach percayalah kasih jarak menghapus janji setia menjaga hati 19maret 2024,2024-03-18T17:28:02Z,bismillahirrahmanirrahim assalamualaikum his love in the eyes of the welcome prayer 51 yes bii smoga in the future the best prayer smoga happiness blessing joy enveloping smoga happiness slu belongs to luv u full my darling is yours abii mine has for bismillah in his fayakun happy anniversary my darling anksh 19 forever emmuaaaach trust love distance erase the pledge of loyalty keep the heart 19maret 2024
@loveAnikaAlhidayat,bismillahirrahmanirrahim assalamualaikum cinta nya dimata doa selamat datangnya 51 ya bii smoga kedepannya doa terbaik smoga kebahagiaan keberkahan keridhoan menyelimuti smoga kebahagiaan slu milik luv u full kesayangankuaku milikmu abii milik ku memiliki utk bismillah dlm fayakun nya happy anniversary kesayanganku anksh 19 forever emmuaaaach percayalah kasih jarak menghapus janji setia menjaga hati 19maret 2024,2024-03-18T17:27:27Z,bismillahirrahmanirrahim assalamualaikum his love in the eyes of the welcome prayer 51 yes bii smoga in the future the best prayer smoga happiness blessing joy enveloping smoga happiness slu belongs to luv u full my darling is yours abii mine has for bismillah in his fayakun happy anniversary my darling anksh 19 forever emmuaaaach trust love distance erase the pledge of loyalty keep the heart 19maret 2024
@NanaAgustina179,gasss 67jt moootiara,2024-03-18T16:54:26Z,gasss 67jt moootiara
@EliziRamadhani,ga bosen lagu tiara alshd hubungan jga breng hubunganku cwo ku jdi lagu pnya arti,2024-03-18T15:57:44Z,ga bosen lagu tiara alshd hubungan jga breng hubunganku cwo ku jdi lagu pnya arti
@irgiirawan3112,mewek keinget kisah rasulullah saw,2024-03-18T09:21:13Z,mengek keinget the story of Rasulullah saw
@wh109,janji setia lagu religi puasa chartnya stabil cenderung enak banget baca kisah nabi pake backsound lagu,2024-03-17T13:51:08Z,"the pledge of allegiance to the song of the religion of fasting, the chart is stable, it tends to be very good to read the story of the prophet using backsound"
@srinurhaliza3984,apis piros kesempatan knp howw,2024-03-17T05:29:01Z,apis piros chance knp howw
@ranydwisetyani669,lagu tiara enak banget lagu suka pake banget janset,2024-03-16T06:14:22Z,tiara songs are really good songs like to use really janset
@aguskurniawan5866,p,2024-03-14T11:24:13Z,p
@dhiyaulhaqaxisfadhillah,menyalaa sayangggg,2024-03-14T07:52:21Z,cahayaa Sayangggg
@manuelhutagalung89,lagunya aerosmith i dont want miss a thing plagiat,2024-03-13T21:19:07Z,the song is aerosmith i dont want to miss a thing plagiarism
@angelinesouver9695,sengaja mlm dengerin lagu krna lagu suka jd backsound kisah kisah nabi ig jd lg rindu banget nabi muhammad solawatan suka denger lagu,2024-03-13T15:28:23Z,deliberately mlm listen to songs because songs like jd backsound the story of the prophet ig jd lg really miss the prophet muhammad solawatan like to listen to songs
@_Tolak_angin,lagu berkahnya backsound nabi muhammad saw sukses titi,2024-03-13T10:56:57Z,song blessing backsound prophet muhammad saw success titi
@arymori1939,suka banget ama tipe suaranya tiara sukses ya,2024-03-12T13:54:28Z,"i really like the sound type of the successful tiara, right?"
@user-sl2si9sc4h,tiara cantik comel lagu ni sedap,2024-03-12T11:27:55Z,tiara pretty cute this song is delicious
@baribudiarji2agmailcom,ds ustieyyreityuudyx7jdyujyyryxhyjsyxyydhuuurydkycuyydyuthyxyuejiudujfuyyryyyuduyhhdhhdhuxuhxhjdhxhehhsyyxgghdychhdhhshhdhyuuuuududuudhhhhdhdusuuyyxyyhududuuudhyhhhhdhhdhhhhdhhhhdhhduhudhhduhhchhdhhhduudhhfhhhu,2024-03-12T06:57:37Z,ds ustieyyreityuudyx7jdyujyyryxhyjsyxyydhuuurydkycuyydyuthyxyuejiudujfuyyryyyuduyhhdhhdhuxuhxhjdhxhehhsyyxgghdychhdhhshhdhyuuuuududuudhhhhdhdusuuyyxyyhududuuudhyhhhhdhhdhhhhdhhhhdhhduhudhhduhhchhdhhhduudhhfhhhu
@baribudiarji2agmailcom,vhjhghhhhuhigihhigugghfhfhgghgghhgijhhihgjuhhihhhhhhhhjuiioouiiiituiyiuuiiyijlkkjjuhhuuuuukkji,2024-03-12T06:54:48Z,vhjhghhhhuhigihhigugghfhfhgghgghhgijhhihgjuhhihhhhhhhhjuiioouiiiituiyiuuiiyijlkkjjuhhuuuuukkji
@adengb19,2024 hadir,2024-03-12T03:17:24Z,2024 present
@UlulNgilmi-sp4dl,suka lagu banget dengerin gara lagu lagu favorit mantan,2024-03-11T14:10:40Z,i really like listening to songs because of my ex's favorite songs
@DuriKepa21,enak aja lagunya,2024-03-11T08:39:02Z,just good for the song
@dhuta8131,asta handoko personil ran sih,2024-03-10T13:18:40Z,asta handoko personnel ran it
@alihariyanto2920,lagu nih,2024-03-10T02:27:00Z,this song
@telvininnocent,i dont understand the words but i still like the song,2024-03-08T10:51:48Z,i dont understand the words but i still like the song
@erikaja6469,315 favorit merdu banget jiwa berasa dimurnikan beresonansi jantungku seakan berdetak cepat tenang nyaman,2024-03-08T07:13:24Z,315 very melodious favorites the soul feels purified resonates my heart as if it beats fast calm comfortable
@yudhasyhab9288,yah gua lagu raisa,2024-03-07T07:26:51Z,well cave song raisa
@carlsandika,allahumma sollihallah saidyina muhammad,2024-03-06T03:31:48Z,allahumma sollihallah saidyina muhammad
@andikaputra5061,janji setia x cerita nabi muhammad,2024-03-06T02:04:27Z,pledge of allegiance x the story of the prophet muhammad
@carnationautosound3848,dengerin home audio pke ni lagu ngeri banget emosinya ampun mbak susaranya badai,2024-03-05T19:33:24Z,listen to home audio pke this is a horrifying song really emotional pardon mbak susnya storm
@ellinellin5475,semangat menjemput 661views bismillah,2024-03-04T12:53:53Z,spirit invites 661views bismillah
@user-yz9st7et1b,dengar lagu kisah nabi muhammad saw sahabatnya,2024-03-04T02:26:32Z,listen to the song of the story of the prophet muhammad saw his friend
@rizkyfidiansyah2768,gas 67 juta moo up hatiku,2024-03-04T00:04:48Z,gas 67 million moo up my heart
